variationidtemp,Average Rate,Intial_Repayment,balance_outstanding,Repayment,fees,Total_Cost
Bank of Queensland - a79aa1bf-54e8-493b-b4ab-ef263aa41e0e - 12 to 84,11.0,652.2726921792939,0,39136.36153075763,645.0,39781.36153075763
Bank of Queensland - e9fde59a-f0b1-4a71-bb7e-524c4600b58f - 12 to 84,10.99,652.1230894991846,0,39127.38536995108,600.0,39727.38536995108
Bank of Queensland - 140eb44f-2f77-4a82-8005-b22c9f940bd2 - 12 to 84,9.54,630.642429668638,0,37838.54578011828,645.0,38483.54578011828
Bank of Queensland - cb857196-f5a0-4260-a221-ee5a5760ab38 - 0 to 999,6.86,592.0563883740551,0,35523.38330244331,495.0,36018.38330244331
Catalyst Money - 5955257a-ff77-4179-ae64-dbd535e489ac - 0 to 999,11.86,665.2129740940123,0,39912.77844564074,200.0,40112.77844564074
Circle Alliance Bank - 61f74a17-d8db-46d0-9691-af24ad248fcb - 12 to 84,11.2,655.2689313060118,0,39316.135878360714,150.0,39466.135878360714
Circle Alliance Bank - 734d9fb7-e8b6-45aa-83a4-bb2e08048e49 - 12 to 84,8.9,621.295671581345,0,37277.7402948807,150.0,37427.7402948807
Circle Alliance Bank - 1550c4dc-5995-4339-8a54-58743a0de38b - 12 to 84,14.5,705.8484324257465,0,42350.90594554479,150.0,42500.90594554479
Coastline Credit Union - ed9a147c-1a88-494d-bd48-45843319542c - 12 to 84,5.29,570.131508492483,0,34207.89050954898,200.0,34407.89050954898
Coastline Credit Union - 34806282-ff6e-472f-9b28-ec1651779bc3 - 12 to 84,9.09,624.0618694480403,0,37443.71216688242,200.0,37643.71216688242
Coastline Credit Union - a354b30b-9b11-46ef-aed2-6c17695414da - 12 to 84,6.49,586.8439373006976,0,35210.63623804186,200.0,35410.63623804186
Coastline Credit Union - dd13ec01-9264-4082-afb3-28a27288afa1 - 12 to 84,7.39,599.5715385537819,0,35974.29231322691,200.0,36174.29231322691
Coastline Credit Union - 80247d5b-5faf-4735-a6f1-7b77a2e07a16 - 12 to 84,11.29,656.619838178134,0,39397.19029068804,200.0,39597.19029068804
Coastline Credit Union - 83ea43a8-e520-47f2-9350-dcf28bcadd60 - 0 to 999,13.75,694.1653455175091,0,41649.920731050544,200.0,41849.920731050544
Commonwealth Bank of Australia - 006a040b-b4ab-4cab-a5ae-95f913fc7a32 - 0 to 84,15.899999999999999,727.9486753244913,0,43676.92051946948,750.0,44426.92051946948
